Predicted Grades (Test)	Actual Grades (Test)
10.0	8
10.0	12
11.363636363636363	5
11.363636363636363	9
11.5	9
10.142857142857142	13
11.142857142857142	18
11.0	7
11.142857142857142	8
11.25	13
11.142857142857142	15
11.0	7
11.0	14
11.0	12
11.363636363636363	14
11.142857142857142	8
11.142857142857142	7
10.0	11
11.0	15
13.5	9
11.25	14
11.25	16
10.0	15
10.0	6
10.0	9
10.0	19
10.0	11
11.25	10
11.0	17
14.181818181818182	11
10.25	9
11.0	8
10.0	15
11.181818181818182	13
11.0	7
11.0	5
11.0	0
11.181818181818182	15
11.0	12
11.0	9
11.142857142857142	6
11.142857142857142	11
11.0	14
11.363636363636363	9
10.0	15
11.142857142857142	10
11.545454545454545	12
11.0	14
13.0	13
11.181818181818182	15
11.363636363636363	13
11.142857142857142	15
11.142857142857142	11
11.25	9
11.0	5
11.545454545454545	13
10.142857142857142	10
10.142857142857142	7
11.142857142857142	15
11.142857142857142	16
13.0	13
11.363636363636363	9
11.0	8
10.181818181818182	5
10.0	7
11.142857142857142	17
11.0	9
10.0	10
11.409090909090908	10
11.0	15
11.363636363636363	8
10.142857142857142	10
11.409090909090908	13
11.0	19
10.0	11
11.0	6
11.363636363636363	9
11.0	14
11.727272727272727	5
